id,l_number,article_number,price_pp_chf,price_sp_chf,hero_image_url,very_short_description_de,short_description_de
3960,125115,2.3119403,7.3,30,images/ImgAcc_WALL-CEILING-BRACKET-A-P-BK-RAL9005_StillLife_Photo_lp.jpg,BRACKET A+ PW,Befestigungsbügel A+ MULTIPOWER
3961,125113,2.3119401,9.75,37,images/ImgAcc_DAYLIGHT-SENSOR-A-P_StillLife_Photo_lp.jpg,MICROWAVE MOTION SENSOR A+ PW,Bewegungssensor
3962,125112,2.3119400,11.35,60,images/ImgAcc_DAYLIGHT-SENSOR-A-P_StillLife_Photo_lp.jpg,DALI CONVERTER A+ PW,DALI Adapter A+ PW
3963,125111,2.3124453,29.95,117,images/ImgAcc_POLYCARBONATE-DIFFUSER-A-P-MULTIPOWER_MainBottom_StillLife_Render_02.png,A+PW  POLYCARBONATE DIFFUSER,Polycarbonat-Diffusor A+ MULTIPOWER
3964,125120,2.8433964,18.6,82,images/964_strahler.jpg,Lebensmittelfilter für Gemüsewaren - 78m,Lebensmittelfilter für Gemüsewaren
3965,125119,2.8433963,18.6,82,images/963_strahler.jpg,Lebensmittelfilter für Obst und Käseware,Lebensmittelfilter für Obst- und Käsewaren
3966,125117,2.8433961,18.6,82,images/961_strahler.jpg,Lebensmittelfilter für Fleisch und Wurst,Lebensmittelfilter für Fleisch- und Wurstwaren
3967,125121,2.8433965,18.6,82,images/965_strahler.jpg,Lebensmittelfilter für Fischwaren - 78mm,Lebensmittelfilter für Fischwaren
3968,125118,2.8433962,18.6,82,images/962_strahler.jpg,Lebensmittelfilter für Backwaren - 78mm,Lebensmittelfilter für Backwaren
3969,125122,2.8435963,28.35,112,images/963_strahler.jpg,Lebensmittelfilter für Obst und Käseware,Lebensmittelfilter für Obst- und Käsewaren
3970,125123,2.8435965,28.35,112,images/965_strahler.jpg,"Lebensmittelfilter für Fischwaren - 108,",Lebensmittelfilter für Fischwaren
3971,125124,2.8417900,4.05,13,images/900_strahler.jpg,"Glas matt 108,5mm",Schutzscheibe mattiert
3972,125129,2.8432965,13.35,66,images/965_strahler.jpg,Lebensmittelfilter für Fischwaren - 60mm,Lebensmittelfilter für Fischwaren
3973,125126,2.8432962,13.35,66,images/962_strahler.jpg,Lebensmittelfilter für Backwaren - 60mm,EB432 Lebensmittelfilter für Backwaren
3974,125125,2.8432961,13.35,66,images/961_strahler.jpg,Lebensmittelfilter für Fleisch und Wurst,EB432 Lebensmittelfilter für Fleisch- und Wurstwaren
3975,125127,2.8432963,13.35,66,images/963_strahler.jpg,Lebensmittelfilter für Obst und Käseware,EB432 Lebensmittelfilter für Obst- und Käsewaren
3976,125128,2.8432964,13.35,66,images/964_strahler.jpg,Lebensmittelfilter für Gemüsewaren - 60m,EB432 Lebensmittelfilter für Gemüsewaren
3977,125131,2.3109012,18.25,81,images/DL_ROUND_MAXI_plus_louvre_FA_01_lp.jpg,LOUVRE DL ROUND MAXI,Radialspiegelraster DL ROUND MAXI
3978,125130,2.3109010,8.9,35,images/DL_ROUND_MAXI_WHITE_REFLECTOR_lp.jpg,WHITE REFLECTOR DL ROUND MAXI,Weisser Reflektor DL ROUND MAXI
3979,125133,2.3122586,76.5,248,images/Single+wireless+wall+switch.png,EASYFIT BT SINGLE WALL SWITCH,Funkschalter Einzelwippe
3980,125134,2.3122587,78.5,254,images/Double+wireless+wall+switch.png,EASYFIT BT DOUBLE WALL SWITCH,Funkschalter Doppelwippe
3981,125132,2.3122585,86.25,277,images/External+Casambi+module.png,CASAMBI - BOX INCL. CONTROL UNIT,Externes Casambi Modul
