name,manufacturer,category,family,price_chf,wattage,kelvin,inside,outside,mounting,luminaire_types,image_url,product_id,source_article_id,source_article_number,kelvin_values,source_l_number,source_version,memory_type,lambda,style,mood,finish
WIN PRO + 30 130 A35/W 740 GR94 DALI,Performance In Lighting - Italy,,,885.0,130.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1093,1093,2.3116110,4000,108190,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 130 A35/W 740 GR94 RPA,Performance In Lighting - Italy,,,858.0,130.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1094,1094,2.3116113,4000,108202,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 250 A35/W 757 GR94,Performance In Lighting - Italy,,,1020.0,250.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1095,1095,2.3116180,5700,108204,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 130 A35/W 757 GR94 DALI,Performance In Lighting - Italy,,,885.0,130.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1096,1096,2.3116111,5700,108189,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 190 A35/W 740 GR94 RPA,Performance In Lighting - Italy,,,1060.0,190.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1097,1097,2.3116149,4000,108197,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 250 A35/W 740 GR94,Performance In Lighting - Italy,,,1020.0,250.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1098,1098,2.3116179,4000,108205,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 250 A35/W 757 GR94 RPA,Performance In Lighting - Italy,,,1155.0,250.0,5700.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1099,1099,2.3116186,5700,108192,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 190 A35/W 740 GR94 DALI,Performance In Lighting - Italy,,,1087.0,190.0,4000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1100,1100,2.3116146,4000,108186,1,hard,0.01,minimalist,focused,white
WIN PRO + 30 190 A35/W 730 GR94 RPA,Performance In Lighting - Italy,,,1060.0,190.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1101,1101,2.3116148,3000,108198,1,hard,0.01,minimalist,ambient,white
WIN PRO + 30 190 A35/W 730 GR94 DALI,Performance In Lighting - Italy,,,1087.0,190.0,3000.0,False,True,"floor, wall","down_light, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/ImgLum_WIN-PRO-P-30-96LED-AW-GR94_StillLife_Photo_MainAngle_1200x1200.png,article_1102,1102,2.3116145,3000,108188,1,hard,0.01,minimalist,ambient,white
